<<<<<<< HEAD
﻿id,name,type,rank,class,effect,owners,trigger_rate
163,離反の将,固有,品質：C,自律,発動率:35%ランダムな敵1人の知略を20減少させる。効果は1ターン後の行動開始前まで持続する,,0.35
164,武家関白,固有,品質：C,自律,発動率:50%ランダムな敵1人の統率を20減少させる。効果は1ターン後の行動開始前まで持続する,,0.5
165,枯れ桔梗,固有,品質：C,自律,発動率:100%ランダムな味方1人の兵力を回復する(回復率50%),,1.0
166,京兆家有職,固有,品質：C,受動,発動率:100%自身の統率が10増加する,,1.0
167,兄の影,固有,品質：C,自律,発動率:35%ランダムな味方1人に浄化を付与する,,0.35
168,有楽の点前,固有,品質：C,自律,発動率:35%ランダムな敵1人の速度を20減少させる。効果は1ターン後の行動開始前まで持続する,,0.35
169,剣の極み,伝授,品質：S,受動,【確率】100%【効果】自身の会心率が30%、会心ダメージが、さらに75%増加する,,1.0
170,英主号令,伝授,品質：S,自律,【確率】45%【効果】戦法発動後、次のターンの自身の行動時、敵全員に知略攻撃(ダメージ率330%)を仕掛ける,,0.45
171,名采配,伝授,品質：S,自律,【確率】55%【効果】戦法発動後、次のターンの自身の行動時、ランダムな敵2人に武勇攻撃(ダメージ率360%)を仕掛ける,,0.55
172,海道一の弓取り,伝授,品質：S,指揮,【確率】100%【効果】戦闘開始後最初の3ターン、自身に範囲攻撃(ダメージ率60％)を付与する,,1.0
173,戦陣突破,伝授,品質：S,受動,【確率】100%【効果】自身が攻撃を仕掛ける時に、対象の統率の100％無視し、敵に与える武勇ダメージが本来の20％増加する,,1.0
174,速攻,伝授,品質：S,自律,【確率】60%【効果】戦法発動後、次のターンの自身の行動時、ランダムな敵2人に知略攻撃(ダメージ率330%)を仕掛ける,,0.6
175,反撃の備え,伝授,品質：S,受動,【確率】100%【効果】ダメージを受ける時に、50％の確率で攻撃側に知略攻撃(ダメージ率200%)を1回仕掛ける,,1.0
176,魔王怒涛,伝授,品質：S,受動,【確率】100%【効果】戦闘開始後、ターン毎に100％の確率で自身に連撃を付与する。戦法効果は戦闘終了まで持続する,,1.0
177,二重の計略,伝授,品質：S,追撃,【確率】50％【効果】敵1人に通常攻撃後、同一の敵に追加で知略攻撃(ダメージ率300%)を仕掛ける,,0.3
178,軍神の秘策,伝授,品質：S,自律,【確率】50％【効果】戦法発動後、次のターンの自身の行動時、敵全員に武勇攻撃(ダメージ率300%)を仕掛ける,,0.3
179,古今独歩,伝授,品質：S,受動,【確率】100%【効果】自身の全能力が60増加する,,1.0
180,威嚇の陣,伝授,品質：S,指揮,【確率】100%【効果】戦闘開始後最初の3ターン、ランダムな敵2人の与ダメージを、本来の30％(さらに知略値により減少量追加)減少させる,,1.0
181,下克上の惟任,伝授,品質：S,自律,【確率】30％【効果】ランダムな敵1人に下克上を付与する。効果は付与後3回目の行動開始前まで持続する,,0.3
182,士気高揚,伝授,品質：S,追撃,【確率】40%【効果】敵1人に通常攻撃後、同一の敵に追加で1回知略攻撃(ダメージ率280%)を仕掛け、30％の確率で敵に混乱を付与する。効果は付与後2回目の行動開始前まで持続する,,0.4
183,高名の将,伝授,品質：S,自律,【確率】35%【効果】ランダムな敵1人に威嚇を付与する。効果は付与後3回目の行動開始前まで持続する,,0.35
184,三河の軍陣,伝授,品質：S,指揮,【確率】100%【効果】戦闘開始後最初の3ターン、ランダムな味方2人の被ダメージを、本来の30%(さらに知略値により減少量追加)減少する,,1.0
185,畏怖の旗,伝授,品質：S,自律,【確率】35％【効果】ランダムな敵1人に混乱を付与する。効果は付与後3回目の行動開始前まで持続する,,0.3
186,妨害の策,伝授,品質：S,指揮,【確率】100%【効果】戦闘開始後最初の3ターン、ランダムな敵2人の通常攻撃と追撃戦法のダメージを、本来の90%減少させる,,1.0
187,謀神の軍略,伝授,品質：S,受動,【確率】100%【効果】自身の攻撃が敵の知略値の50％を無視し、敵に与える知略ダメージが、本来の20％増加する,,1.0
188,林の如し,伝授,品質：S,受動,【確率】100%【効果】自身が行動する前に、兵力を回復する(回復率200%),,1.0
189,連戦の勢い,伝授,品質：S,自律,【確率】50％【効果】ランダムな敵2人に武勇攻撃(ダメージ率164%)を仕掛ける。この戦法が発動する度に、発動率が10%増加する。効果は重複し、戦闘終了まで持続する,,0.3
190,忍の秘術,伝授,品質：S,追撃,【確率】40%【効果】敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率280%)を仕掛け、30％の確率で敵に威嚇を付与する。効果は付与後2回目の行動開始前まで持続する,,0.4
191,隠密撹乱,伝授,品質：S,自律,【確率】45%【効果】ランダムな敵2人に知略攻撃(ダメージ率200%)を仕掛け、攻撃目標の武勇、統率、知略を40減少させる。効果は2ターン後の行動開始前まで持続する,,0.45
192,決死猛撃,伝授,品質：S,自律,【確率】50％【効果】ランダムな敵2人に武勇攻撃(ダメージ率240%)を仕掛け、自身の武勇を50％減少させる。効果は1ターン後の行動開始前まで持続する,,0.3
193,幻惑の術,伝授,品質：S,指揮,【確率】100%【効果】戦闘開始後最初の3ターン、ランダムな敵2人は100%の確率で自律戦法の発動まで1ターン追加される,,1.0
194,出雲の謀聖,伝授,品質：S,自律,【確率】50％【効果】ランダムな敵2人に知略攻撃(ダメージ率164%、さらに知略値によりダメージ増加)を仕掛ける。この戦法が発動する度に、発動率が10%増加する。効果は重複し、戦闘終了まで持続する,,0.3
195,無双勇兵,伝授,品質：S,自律,【確率】45％【効果】敵全員に武勇攻撃(ダメージ率200%)を仕掛ける,,0.3
196,誘引の計,伝授,品質：S,指揮,【確率】100%【効果】戦闘開始後最初の3ターン、敵全員に挑発を与え、かつ自身の統率を100増加させる,,1.0
197,万全の計,伝授,品質：S,自律,【確率】55%【効果】ランダムな敵2人に知略攻撃(ダメージ率190%)を仕掛ける,,0.55
198,堅守の策,伝授,品質：S,受動,【確率】100%【効果】自身に反撃(ダメージ率100%)を付与する,,1.0
199,猛威勇槍,伝授,品質：S,自律,【確率】45%【効果】ランダムな敵2人に武勇攻撃(ダメージ率225%)を仕掛ける,,0.45
200,墨俣一夜城,伝授,品質：S,自律,【確率】45%【効果】敵全員に知略攻撃(ダメージ率200%)を1回仕掛ける,,0.45
201,勇断二突,伝授,品質：S,追撃,【確率】50％【効果】敵1人に通常攻撃後、同一の敵に追加で武勇攻撃(ダメージ率300%)を仕掛ける,,0.3
202,軍律厳正,伝授,品質：S,受動,【確率】100%【効果】自身に奇策率が30%、奇策ダメージが、さらに75%増加する,,1.0
203,大局掌握,伝授,品質：A,受動,【確率】100％【効果】自身の知略が60増加する,,0.3
204,持続攻勢,伝授,品質：A,自律,【確率】40％【効果】自身に連撃を付与する。効果は1ターン後の行動開始前まで持続する,,0.3
205,鋭気回復,伝授,品質：A,自律,【確率】55%【効果】戦法発動後、次のターンの自身の行動時、ランダムな敵2人に知略攻撃(ダメージ率100％)を仕掛け、ランダムな味方2人の兵力を回復する(回復率100％),,0.55
206,反攻の策,伝授,品質：A,追撃,【確率】30％【効果】敵1人に通常攻撃後、同一の敵に追加で知略攻撃(ダメージ率120%)を仕掛け、窮地を付与する。効果は付与後2回目の行動開始前まで持続する,,0.3
207,典雅堅忍,伝授,品質：A,自律,【確率】40％【効果】ランダムな味方2人に浄化を付与し、兵力を回復する(回復率120%),,0.3
208,壮烈痛撃,伝授,品質：A,追撃,【確率】35％【効果】敵1人に通常攻撃後、同一の敵に追加で武勇攻撃(ダメージ率200%)を仕掛ける,,0.3
209,至高の采配,伝授,品質：A,受動,【確率】100%【効果】自身の全能力が32増加する,,1.0
210,高揚号令,伝授,品質：A,指揮,【確率】100%【効果】戦闘開始後最初の3ターン、味方それぞれの与ダメージが本来の20％増加する,,1.0
211,用心の命,伝授,品質：A,指揮,【確率】100%【効果】戦闘開始後最初の3ターン、味方それぞれの被ダメージが、本来の20％減少する,,1.0
212,熟考の一手,伝授,品質：A,自律,【確率】50％【効果】戦法発動後、次のターンの自身の行動時、ランダムな敵2人に知略攻撃(ダメージ率192%)を仕掛ける,,0.3
213,堅忍不抜,伝授,品質：A,自律,【確率】40％【効果】自身に2回抵抗を付与する。効果は1ターン後の行動開始前まで持続する,,0.3
214,謀叛の将,伝授,品質：A,自律,【確率】35%【効果】ランダムな敵1人に武勇攻撃(ダメージ率170%)を仕掛け、丸腰を付与する。効果は付与後2回目の行動開始前まで持続する,,0.35
215,急進乱突,伝授,品質：A,自律,【確率】35%【効果】ランダムな敵1人に知略攻撃(ダメージ率170%)を仕掛け、窮地を付与する。効果は2回目の行動開始前まで持続する,,0.35
216,慎重進軍,伝授,品質：A,追撃,【確率】30％【効果】敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率60％)を仕掛け、丸腰効果を付与する。効果は付与後2回目の行動開始前まで持続する,,0.3
217,伝説の忍,伝授,品質：A,指揮,【確率】100%【効果】戦闘開始後の3、5、7ターン目に、80％の確率でランダムな敵2人に、そのターンの終了まで、窮地を付与する,,1.0
218,冷静決断,伝授,品質：A,受動,【確率】100%【効果】自身の統率が60増加する,,1.0
219,動揺打撃,伝授,品質：A,自律,【確率】50%【効果】ランダムな敵2人に動揺(ダメージ率156%)を付与する。効果は付与後に1回、行動開始すると終了する,,0.5
220,防衛の才覚,伝授,品質：A,自律,【確率】40％【効果】自身の被ダメージが、本来の50％減少する。効果は2ターン後の行動開始前まで持続する,,0.3
221,敵陣攪乱,伝授,品質：A,指揮,【確率】100%【効果】戦闘開始後第3、5、7ターン目に、80％確率でランダムな敵2人に、そのターンの終了まで、丸腰を付与する,,1.0
222,潰乱の策,伝授,品質：A,自律,【確率】40％【効果】ランダムな敵2人に恐慌(ダメージ率222%)を付与する。効果は付与後に1回、行動開始すると終了する,,0.3
223,裏の策,伝授,品質：A,自律,【確率】45%【効果】ランダムな敵2人に中毒(ダメージ率194%)を付与する。効果は付与後に1回、行動開始すると終了する,,0.45
224,鶴の一声,伝授,品質：A,自律,【確率】50％【効果】ランダムな味方1人に救急(75%の確率で、回復率100%)を付与し、効果は2ターン後の行動開始前まで持続する,,0.3
225,陽動の将,伝授,品質：A,自律,【確率】40％【効果】ランダムな敵2人に挑発を付与し、効果は付与後3回目の行動開始前まで持続する。さらに、自身の統率が70増加し、効果は2ターン後の行動開始前まで持続する,,0.3
226,善戦無畏,伝授,品質：A,自律,【確率】35%【効果】ランダムな敵1人に武勇攻撃(ダメージ率170%)を仕掛け、窮地を付与する。効果は付与後2回目の行動開始前まで持続する,,0.35
227,慈心休養,伝授,品質：A,自律,【確率】50％【効果】戦法発動後、次のターンの自身の行動時、ランダムな味方2人の兵力を回復する(回復率180%),,0.3
228,鬼の猛攻,伝授,品質：A,自律,【確率】60%【効果】自身に範囲攻撃(ダメージ率60％)を付与する。効果は1ターン後の行動開始前まで持続する,,0.6
229,不意乱撃,伝授,品質：A,自律,【確率】35%【効果】ランダムな敵1人に知略攻撃(ダメージ率170%)を仕掛け、丸腰を付与する。効果は２回目の行動開始前まで持続する,,0.35
230,勇略,伝授,品質：A,追撃,【確率】45%【効果】敵1人に通常攻撃後、同一の敵に追加で知略攻撃(ダメージ率160%)を仕掛ける,,0.45
231,勇往邁進,伝授,品質：A,受動,【確率】100%【効果】自身の武勇が60増加する,,1.0
232,家臣親愛,伝授,品質：A,自律,【確率】30％【効果】兵力が一番少ない味方に1回抵抗を付与し、兵力を回復する(回復率188%)。効果は1ターン後の行動開始前まで持続する,,0.3
233,人望の君,伝授,品質：A,自律,【確率】35％【効果】ランダムな敵1人に下克上を付与する。効果は付与後2回目の行動開始前まで持続する,,0.3
234,烈火双撃,伝授,品質：A,自律,【確率】35%【効果】ランダムな敵2人に火傷(ダメージ率258%)を付与する。効果は付与後に1回、行動開始すると終了する,,0.35
235,支柱の将,伝授,品質：A,自律,【確率】30%【効果】戦法発動後、次のターンの自身の行動時、ランダムな敵1人に武勇攻撃(ダメージ率355％)を仕掛ける,,0.3
236,和敬清寂,伝授,品質：B,自律,【確率】35％【効果】自身に浄化を付与する,,0.3
237,武人の慈悲,伝授,品質：B,自律,【確率】60%【効果】ランダムな味方1人の兵力を回復する(回復率80%),,0.6
238,進攻の策,伝授,品質：B,自律,【確率】50%【効果】ランダムな敵1人に知略攻撃(ダメージ率104%)を仕掛ける,,0.5
239,将の器,伝授,品質：B,受動,【確率】100%【効果】自身の統率が30増加する,,1.0
240,果敢連撃,伝授,品質：B,追撃,【確率】35％【効果】敵1人に通常攻撃後、同一の敵に追加で武勇攻撃(ダメージ率125%)を仕掛ける,,0.3
241,勇槍,伝授,品質：B,受動,【確率】100%【効果】自身の武勇が30増加する,,1.0
242,守備の要,伝授,品質：B,自律,【確率】35%【効果】自身に反撃(ダメージ率60％)を付与する。効果は1ターン後の行動開始前まで持続する,,0.35
243,戦場慧眼,伝授,品質：B,自律,【確率】35％【効果】自身に洞察を付与する。効果は2ターン後の行動開始前まで持続する,,0.3
244,破敵猛技,伝授,品質：B,自律,【確率】35%【効果】ランダムな敵2人の被ダメージ率を、本来の20％上昇させる。効果は2ターン持続後の行動開始前まで持続する,,0.35
245,剛勇の一撃,伝授,品質：B,自律,【確率】45%【効果】ランダムな敵1人に武勇攻撃(ダメージ率140%)を仕掛ける,,0.45
246,双撃の計略,伝授,品質：B,追撃,【確率】50％【効果】敵1人に通常攻撃後、同一の敵に追加で知略攻撃(ダメージ率100％)を仕掛ける,,0.3
247,早駆け,伝授,品質：B,受動,【確率】100%【効果】自身の速度が30増加する,,1.0
248,教唆扇動,伝授,品質：B,自律,【確率】30%【効果】ランダムな敵2人に挑発を付与する。効果は付与後3回目の行動開始前まで持続する,,0.3
249,重鎮防衛,伝授,品質：B,自律,【確率】100%【効果】自身の被ダメージを本来の30%減少させる。効果は1ターン後の行動開始前まで持続する,,1.0
250,天恵,伝授,品質：B,受動,【確率】100%【効果】自身の知略が30増加する,,1.0
=======
﻿id,name,type,rank,class,effect,owners,trigger_rate
1,第六天の魔王,固有,品質：S,受動,発動率:100%各ターン100%の確率で発動し、発動したターン中は武勇と知略が100増加し、自身の攻撃後に再度攻撃する,織田信長,1.0
2,三河武士,固有,品質：S,指揮,発動率:100%戦闘開始から戦闘終了まで、味方それぞれの被ダメージが本来の15%減少する(さらに統率値により被ダメージ減少),徳川家康,1.0
3,最強の虎,固有,品質：S,指揮,発動率:100%各ターン中、味方1人毎に各効果を20%の確率(さらに統率値により確率上昇)で付与する。(1)連撃(2)休憩(回復率100%)(3)範囲攻撃(ダメージ率50%)(4)抵抗,武田信玄,1.0
4,相模獅子,固有,品質：S,指揮,発動率:50%戦闘開始後の1ターン目で、ランダムな敵2人に威嚇を付与し、効果は1ターン目で終了する。さらにこの2人の敵の全能力が15%(さらに統率値により減少値を追加)減少する。行動する毎に1/3ずつ効果が軽減し、付与された4回目の行動開始前まで持続する,北条氏康,0.5
5,蝮の悪計,固有,品質：S,自律,発動率:50%敵に3回知略攻撃(ダメージ率84%)を仕掛ける。ダメージを与える対象は1回毎にランダムになる。各攻撃の対象となった敵には中毒、火傷、恐慌(ダメージ率84%)を順に付与する。各効果は付与後に2回、行動開始すると終了する,斎藤道三,0.5
6,山吹の智将,固有,品質：S,自律,発動率:100%戦法発動後、2ターン後の自身の行動時、敵全員に知略攻撃(ダメージ率540%)を仕掛ける,太田道灌,1.0
7,軍神兵法,固有,品質：S,指揮,発動率:60%ターン毎に味方それぞれを対象に以下の効果を与える。(1)25%の確率(さらに統率値により確率上昇)でランダムな敵1人に武勇攻撃(ダメージ率178%)を仕掛ける。(2)15%の確率(さらに速度値により確率上昇)で、このターン中、自身に抵抗を1回付与する,上杉謙信,0.6
8,三矢の教え,固有,品質：S,自律,発動率:100%味方それぞれがランダムな敵1人に1回武勇攻撃(ダメージ率170%)か知略攻撃(ダメージ率170%)を仕掛ける。能力が高い方で発動する攻撃の種類が決まる,毛利元就,1.0
9,日本一の兵,固有,品質：S,受動,発動率:100%戦闘開始後、自身の与ダメージが本来の100%増加する。効果は戦闘終了まで持続する,真田幸村,1.0
10,千成瓢箪,固有,品質：S,指揮,発動率:100%味方それぞれが自律戦法、追撃戦法を発動する度に、ランダムな敵1人に追加で1回の知略攻撃(ダメージ率90%)を仕掛ける,羽柴秀吉,1.0
11,今川の軍略,固有,品質：S,指揮,発動率:40%味方それぞれの与ダメージが本来の100%増加し、この効果は味方がダメージを受ける度に1/5ずつ減少する,今川義元,0.4
12,晩成の計略,固有,品質：S,自律,発動率:100%ランダムな敵2人に知略攻撃(ダメージ率140%)を仕掛け、火傷(ダメージ率70%)を付与する。効果は付与後に1回、行動開始すると終了する。攻撃対象が既に火傷を受けている場合、威嚇を付与する。効果は付与後2回目の行動開始前まで持続する,北条早雲,1.0
13,風雅治世,固有,品質：S,内政,発動率:35%城下町施設の銅銭の産出量が240増加する,,0.35
14,東の一益,固有,品質：S,自律,発動率:35%ランダムな味方2人に抵抗を1回付与し、攻撃を仕掛ける時に、対象の統率と知略を20%無視する効果を付与する。全ての効果は2ターン後の行動開始前まで持続する,滝川一益,0.35
15,桔梗の旗,固有,品質：S,自律,発動率:50%ランダムな敵2人に下克上を付与する。効果は付与後2回目の行動開始前まで持続する,明智光秀,0.5
16,虎之介の槍,固有,品質：S,追撃,発動率:100%敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率160%)を仕掛け、敵の統率を40減少させる。効果は2ターン後の行動開始前まで持続する,加藤清正,1.0
17,八幡大菩薩,固有,品質：S,受動,発動率:100%敵にダメージを与えると、自身の統率、武勇、知略、速度全てが10%増加する。ダメージを与える度に効果は重複し、戦闘終了まで持続する,本多忠勝,1.0
18,天地人,固有,品質：S,内政,発動率:100%城下町施設の食糧の産出量が1600増加する,,1.0
19,無言善政,固有,品質：S,内政,発動率:100%調達の資源産出量が8%増加する,,1.0
20,島津の鬼,固有,品質：S,受動,発動率:100%ターン毎に60%の確率でランダムな敵2人に武勇攻撃(ダメージ率108%)を仕掛ける。自分の最大兵力が5%減少する度に、発動率が10%上昇する。1回発動すると、発動率が元に戻る,島津義弘,1.0
21,地黄八幡旗,固有,品質：S,指揮,発動率:50%戦闘開始後最初の3ターン、味方それぞれの統率が40増加し、反撃(ダメージ率80%)を付与する,北条綱成,0.5
22,老練勇将,固有,品質：S,自律,発動率:100%ランダムな敵1人に武勇攻撃(ダメージ率150%)を仕掛け、同時に自身の被ダメージが本来の20%減少する(さらに統率値により被ダメージ減少)。効果は1ターン後の行動開始前まで持続する,長野業正,1.0
23,出来人,固有,品質：S,受動,発動率:100%自身を攻撃した相手に50%の確率で混乱を付与する。効果は付与後2回目の行動開始前まで持続する,長宗我部元親,1.0
24,半領の恩,固有,品質：S,受動,発動率:60%味方の大将が6回攻撃する度に、自身がランダムな敵2人に追加で1回武勇攻撃(ダメージ率225%)を仕掛ける,島清興,0.6
25,根性渡河,固有,品質：S,追撃,発動率:50%敵1人に通常攻撃後、同一の敵に追加で1回、寝返である、武勇攻撃(ダメージ率160%、このダメージの60%自身の兵力を回復)を仕掛ける,戸沢盛安,0.5
26,雷切一閃,固有,品質：S,追撃,発動率:50%敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率180%)を仕掛け、威嚇を付与する。効果は付与後2回目の行動開始前まで持続する,立花道雪,0.5
27,雑賀衆突撃,固有,品質：S,自律,発動率:100%敵のいずれかに2-4回武勇攻撃(ダメージ率130%)を仕掛ける。ダメージを与える対象は1回毎にランダムとなる,鈴木重秀,1.0
28,危地誘引,固有,品質：S,指揮,発動率:50%各ターン中、80%の確率でどちらかの効果が発動する。(1)ランダムな味方2人の被ダメージが本来の20%減少する。(さらに知略値により被ダメージ減少)(2)ランダムな味方2人の与ダメージが本来の20%増加する。(さらに知略値により与ダメージ増加),真田昌幸,0.5
29,如水兵法,固有,品質：S,自律,発動率:45%兵力が一番少ない味方の兵力を回復させ(回復率250%)、兵力が一番少ない敵1人に知略攻撃(ダメージ率250%)を仕掛ける,黒田孝高,0.45
30,猛虎急襲,固有,品質：S,追撃,発動率:100%敵1人に通常攻撃後、同一の敵に追加で1回武勇攻撃(ダメージ率174%)を仕掛ける。攻撃後、1ターン後の行動開始前まで、自身の与ダメージが本来の20%増加し、2ターン後の行動開始前まで、自身の被ダメージが本来の40%増加する,武田信虎,1.0
31,立花家の誇り,固有,品質：S,指揮,発動率:100%味方それぞれの通常攻撃時、30%の確率(さらに統率値により確率上昇)で、連撃を付与する。効果は連撃を行う毎に終了する,立花誾千代,1.0
32,伝馬流通,固有,品質：S,内政,発動率:100%徴兵での資源消費量が8%減少する,,1.0
33,薩州の雄,固有,品質：S,内政,発動率:100%城下町施設の木材の産出量が1600増加する,,1.0
34,伊達の柱石,固有,品質：S,内政,発動率:100%城内施設の建設所要時間が8%減少する,,1.0
35,大百足,固有,品質：S,受動,発動率:100%自身の全ての攻撃が敵に中毒(ダメージ率は40%)を付与する。効果は付与後に1回、行動開始すると終了する。この効果による中毒は重ねて付与でき、それを3つ以上重ねた時、敵はすぐに中毒ダメージ(ダメージ率は240%)を1回受け、この効果による中毒は消える,伊達成実,1.0
36,天下の執政,固有,品質：S,内政,発動率:60%城下町施設の食糧・木材・鉄・石材の産出量が1600増加する。戦法発動の間、他の武将の内政戦法が無効となる,,0.6
37,北の謀将,固有,品質：S,追撃,発動率:100%敵1人に通常攻撃後、同一の敵に追加で知略攻撃(ダメージ率130%)を1回仕掛け、50%の確率で敵に下克上を付与する。効果は付与後2回目の行動開始前まで持続する,津軽為信,1.0
38,共謀続攻,固有,品質：S,指揮,発動率:50%自分以外のランダムな味方1人に先制を付与する。さらに先制を付与した味方の速度を40増加、与ダメージを本来の40%増加させる。効果は戦闘終了まで持続する,斎藤義龍,0.5
39,仏法再興,固有,品質：S,自律,発動率:100%ランダムな味方1人に浄化を付与し、兵力を回復する(回復率360%),本願寺顕如,1.0
40,洗礼の大名,固有,品質：S,指揮,発動率:100%2、4、6、8ターン目の時、味方それぞれに浄化を付与し、兵力を回復する(回復率140%),大友宗麟,1.0
41,楽市の祖,固有,品質：S,指揮,発動率:100%味方それぞれがダメージを受ける度に、自身の与ダメージが本来の10%増加する。効果は戦闘終了まで持続する,六角定頼,1.0
42,領地安泰,固有,品質：S,内政,発動率:40%城下町施設の石材の産出量が1600増加する,,0.4
43,謀聖の軍略,固有,品質：S,自律,発動率:35%敵全員に知略攻撃(ダメージ率142%)を仕掛け、追加で窮地を付与する。効果は付与後2回目の行動開始前まで持続する,尼子経久,0.35
44,長寿の知恵,固有,品質：S,自律,発動率:100%自身に洞察を付与し、武勇が100増加し、自身が自律戦法を発動する場合、必要なターン数が1減少する。効果は1ターン後の行動開始前まで持続する,下間頼廉,1.0
45,今川仮名目録,固有,品質：S,内政,発動率:100%城下町施設の鉄の産出量が1600増加する,,1.0
46,剣豪の祖,固有,品質：S,受動,発動率:40%戦闘開始後、自身の会心率が40%、会心ダメージが、さらに50%増加する。効果は戦闘終了まで持続する,上泉信綱,0.4
47,飛加藤,固有,品質：S,自律,発動率:60%戦法発動後、ランダムな敵1人に恐慌(ダメージ率120%)と丸腰を付与する。戦法発動後、2回目の行動時に火傷(ダメージ率120%)と窮地を付与する。戦法発動後3回目の行動時に中毒(ダメージ率120%)と混乱を付与する。付与後に1回、行動開始すると恐慌・火傷・中毒は終了し、丸腰・窮地・混乱は付与後2回目の行動開始前まで持続する,加藤段蔵,0.6
48,啄木鳥戦法,固有,品質：S,自律,発動率:100%ランダムな味方2人の兵力を回復し(回復率100%)、ランダムな敵2人に知略攻撃(ダメージ率150%)を仕掛ける,山本晴幸,1.0
49,霧隠の忍術,固有,品質：S,自律,発動率:40%ランダムな敵1人に武勇攻撃(ダメージ率128%)を仕掛け、同時に動揺(ダメージ率58%)を付与する。効果は付与後に2回、行動開始すると終了する,霧隠才蔵,0.4
50,甲賀の極意,固有,品質：S,自律,発動率:60%ランダムな敵1人の被ダメージが本来の40%増加し、追加で武勇攻撃(ダメージ率126%)を仕掛ける。効果は1ターン後の行動開始前まで持続する,猿飛佐助,0.6
51,爆撃奇襲,固有,品質：S,自律,発動率:50%ランダムな敵2人に知略攻撃(ダメージ率92%)を仕掛け、同時に火傷(ダメージ率46%)を付与する。効果は付与後に1回、行動開始すると終了する,望月六郎,0.5
52,大傾奇者,固有,品質：S,自律,発動率:70%ランダムな敵2人の最高能力と最低能力を交換する。効果は1ターン後の行動開始前まで持続する。その後、追加で武勇攻撃(ダメージ率196%)を1回仕掛ける,前田利益,0.7
53,軍師の奇策,固有,品質：S,自律,発動率:100%ランダムな敵1人に知略攻撃(ダメージ率144%)を仕掛け、対象が攻撃を受ける度に、追加で1回知略攻撃(ダメージ率144%)を仕掛ける。効果は1ターン後の行動開始前まで持続する,竹中重治,1.0
54,飯田丸,固有,品質：S,指揮,発動率:100%味方それぞれの速度が戦闘終了まで50減少する代わりに、2、4、6、8ターン目の時、そのターンの終了まで、味方それぞれに100%の確率で抵抗を1回付与する,飯田直景,1.0
55,好地策略,固有,品質：S,指揮,発動率:100%戦闘開始後、3ターンが経過するまでに味方のそれぞれが、この戦闘での1回目と、2回目の攻撃を受けた時、100%の確率で抵抗を1回付与する,南部晴政,1.0
56,雑賀の祖,固有,品質：S,指揮,発動率:50%部隊の兵種が鉄砲の場合、味方それぞれの与ダメージが本来の20%増加する,鈴木重朝,0.5
57,種子島乱れ撃ち,固有,品質：S,自律,発動率:50%敵全員に知略攻撃(ダメージ率30%)を3-5回仕掛ける,筧十蔵,0.5
58,勇進の槍,固有,品質：S,自律,発動率:35%自身とランダムな味方1人に連撃を付与する。効果は1ターン後の行動開始前まで持続する,由利鎌之助,0.35
59,剛力豪撃,固有,品質：S,自律,発動率:50%ランダムな敵2人に武勇攻撃(ダメージ率108%)を仕掛け、同時に敵が受ける武勇ダメージを本来の30％増加させる。効果は1ターン後の行動開始前まで持続する,三好清海,0.5
60,猛威突襲,固有,品質：S,自律,発動率:60%ランダムな敵1人に武勇攻撃(ダメージ率350%)を仕掛けた後、自身に混乱を付与する。効果は付与後2回目の行動開始前まで持続する,三好伊三,0.6
61,雑賀流兵法,固有,品質：S,自律,発動率:100%ランダムな敵2人に90%の確率で武勇攻撃(ダメージ率200%)を仕掛け、10%の確率で、代わりに自身へ武勇攻撃(ダメージ率200%)を仕掛ける,鈴木重意,1.0
62,居合の極意,固有,品質：S,追撃,発動率:30%敵1人に通常攻撃後、同一の敵に追加で1回会心率が80%の武勇攻撃(ダメージ率100%)を仕掛ける,林崎甚助,0.3
63,鳶鼠の外法,固有,品質：S,自律,発動率:50%敵全員が自律戦法を発動する時に、発動までに2ターン追加する。効果は2ターン後の行動開始前まで持続する,果心居士,0.5
64,仏の施し,固有,品質：S,自律,発動率:40%味方1人の兵力を回復する(回復率56%)。回復対象は1回毎にランダムとなり、計9回発動する,南光坊天海,0.4
65,保身の心得,固有,品質：S,自律,発動率:30%自身の被ダメージが、本来の60%減少する。効果は2ターン後の行動開始前まで持続する,種子島久時,0.3
66,二領具足,固有,品質：S,自律,発動率:100%自分以外のランダムな味方1人と敵1人に庇護を付与し、その武将は自身の被ダメージの50%を代わりに受ける。効果は2ターン後の行動開始前まで持続する,稲富祐直,1.0
67,急流の陣,固有,品質：A,受動,発動率:35%自身の武勇、統率、知略、速度が32増加する,,0.35
68,正面突破,固有,品質：A,自律,発動率:60%敵大将に武勇攻撃(ダメージ率228%)を仕掛ける,柴田勝家,0.6
69,酒井の太鼓,固有,品質：A,自律,発動率:100%自分以外の味方2人に援護を付与する。効果は1ターン後の行動開始前まで持続する,,1.0
70,無の旗印,固有,品質：A,受動,発動率:100%自身に洞察を付与し、統率を40増加させる,,1.0
71,赤備えの決意,固有,品質：A,自律,発動率:35%自身が次に与える1回目のダメージを本来の60%増加する。効果は1ターン後の行動開始前まで持続する,井伊直政,0.35
